category,name_cn,parameter,unit,value,sensitivity_range,source_attribute,source_url,description
氢能,燃料电池电效率,fuel_cell_kWh_per_kgH2,kWh/kgH2,18.0,16-22,工程假设/DOE目标,https://www.nea.gov.cn/20250430/96022785b3a747248288ad1c57d3a025/83d863317f2f44edb605348e4de40993.pdf,发电量=耗氢量*该值
热力,热泵额定电功率,heat_pump_power_kW,kW,3000.0,"1,000-6,000",工程假设,https://www.iea.org/reports/the-future-of-heat-pumps/how-a-heat-pump-works,耗电上限
热力,热泵COP,heat_pump_COP,-,3.0,2.2-3.8,IEA/文献综述,https://arxiv.org/abs/2102.09797,供热=耗电*COP
热力,燃气锅炉最大供热,gas_boiler_heat_kW,kWth,8000.0,"4,000-12,000",工程假设/锅炉文献,https://eri.usst.edu.cn/html/2021/1/20210104.htm,备用热源
热力,燃气锅炉效率,gas_boiler_eff,-,0.92,0.88-0.95,文献/工程假设,https://eri.usst.edu.cn/html/2021/1/20210104.htm,气耗=供热/(LHV*效率)
设备成本,风电投资成本,wind_capex_cny_per_kw,元/kW,7547.0,4200-7600,web source / second group: IRENA Renewable Power Generation Costs in 2024,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,IRENA 2024 onshore wind TIC 1041 USD/kW 折算
设备成本,光伏投资成本,pv_capex_cny_per_kw,元/kW,5010.0,3500-5500,web source / second group: IRENA Renewable Power Generation Costs in 2024,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,IRENA 2024 TIC 691 USD/kW 折算，模型可用中国低成本情景
设备成本,电池储能功率成本,battery_power_capex_cny_per_kw,元/kW,800.0,500-1500,web source / second group: CNESA Energy Storage Industry White Paper 2024 Summary,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,PCS/并网/BOP 估算，建议敏感性分析
设备成本,电池储能能量成本,battery_energy_capex_cny_per_kwh,元/kWh,1000.0,600-1300,web source / second group: CNESA Energy Storage Industry White Paper 2024 Summary; IRENA Renewable Power Generation Costs in 2024,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,CNESA 系统中标价 0.79元/Wh，IRENA全球储能 192 USD/kWh 交叉校验
设备成本,碱性电解槽投资成本,electrolyzer_capex_cny_per_kw,元/kW,2200.0,1500-7250,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,中国低成本设备取低值，PEM/国际系统取高值
设备成本,燃料电池投资成本,fuel_cell_capex_cny_per_kw,元/kW,6000.0,1200-12000,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,交通用 PEM 成本低于固定式系统，园区备用取中值
设备成本,储氢投资成本,h2_storage_capex_cny_per_kg,元/kgH2,3600.0,220-5100,web source / second group: Hydrogen Storage and Transport: Technologies and Costs,https://escholarship.org/content/qt83p5k54m/qt83p5k54m_noSplash_8bb1326c13cfb9aa3d0d376ec26d3e06.pdf,液氢大罐低，压缩储氢高；园区短周期可做敏感性
设备成本,热泵投资成本,heat_pump_capex_cny_per_kw,元/kWth,3500.0,2600-4600,web source / second group: IRENA Heat Pump Costs and Markets,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2022/Nov/IRENA_Heat_Pumps_Costs_Markets_2022.pdf,IRENA 商业热泵成本折算
设备成本,燃气锅炉投资成本,gas_boiler_capex_cny_per_kwth,元/kWth,500.0,300-800,web source / second group: IEA industrial heat pump chart notes,https://www.iea.org/data-and-statistics/charts/energy-input-cost-ratio-of-industrial-heat-pumps-relative-to-current-market-benchmarks-in-selected-regions-2024-3,成本需后续用具体厂家报价替换
设备寿命,风电寿命,wind_life_years,年,20.0,20-25,web source / second group: IRENA Renewable Power Generation Costs in 2024,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,容量规划年化用
设备寿命,光伏寿命,pv_life_years,年,25.0,25-30,web source / second group: IRENA Renewable Power Generation Costs in 2024,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf,容量规划年化用
设备寿命,电池寿命,battery_life_years,年,12.0,10-15,web source / second group: CNESA Energy Storage Industry White Paper 2024 Summary,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,取决于循环和日历衰减
设备寿命,电解槽寿命,electrolyzer_life_years,年,15.0,8-20,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,"也可用 40,000-80,000 小时约束"
设备寿命,储氢寿命,h2_storage_life_years,年,20.0,15-30,web source / second group: Hydrogen Storage and Transport: Technologies and Costs,https://escholarship.org/content/qt83p5k54m/qt83p5k54m_noSplash_8bb1326c13cfb9aa3d0d376ec26d3e06.pdf,压力容器需按检验周期校核
设备寿命,燃料电池寿命,fuel_cell_life_years,年,10.0,5-15,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,"DOE 重卡系统耐久目标 25,000h；固定式可更高"
财务,折现率,discount_rate,-,0.06,0.04-0.08,web source / second group: IRENA Renewable Power Generation Costs in 2024; RMI 2024 China Power Market Outlook,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Jul/IRENA_TEC_RPGC_in_2024_Summary_2025.pdf; https://rmi.org/app/uploads/dlm_uploads/2025/01/final-2024-China-Power-Market-Outlook-10-Key-Trends-for-Market-Players-2501117.pdf,容量规划年化成本用
设备寿命,热泵寿命,heat_pump_life_years,年,15.0,15-18,web source / IEA heat pump lifetime,https://www.iea.org/reports/the-future-of-heat-pumps/executive-summary,IEA assumes 15 years for air-to-air and 18 years for air-to-water heat pumps; model uses conservative 15 years
市场机制,余电上网价格,grid_sell_price_cny_per_kwh,元/kWh,0.2829,0.2-0.45,web source / second group: RMI 2024 China Power Market Outlook,https://rmi.org/app/uploads/dlm_uploads/2025/01/final-2024-China-Power-Market-Outlook-10-Key-Trends-for-Market-Players-2501117.pdf,按蒙西煤电基准价/机制电价近似，现货和绿电交易需另行替换
市场机制,最大上网容量,grid_export_limit_kw,kW,50000.0,0-100000,web source / second group: Frontiers in Energy Research: heavy equipment manufacturing industrial park IES,https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2024.1448362/full,按 200MW 接入能力的 25% 设置，可由并网批复替换
市场机制,最大购电容量,max_grid_import_kw,kW,200000.0,150000-250000,web source / second group: Frontiers in Energy Research: heavy equipment manufacturing industrial park IES,https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2024.1448362/full,公开案例有 200MW capacity 和 150MW peak demand
市场机制,需量电费,demand_charge_cny_per_kw_year,元/kW·年,393.6,374.4-393.6,web source / second group: 锡林郭勒盟发改委: 内蒙古西部电网销售电价和输配电价公示表,https://fgw.xlgl.gov.cn/fgw/ywgz/jgsf/jfgs/jggs/2023112710530866099/index.html,35kV/110kV 31.2元/kW·月，1-10kV 32.8元/kW·月
氢市场,外购氢价格,h2_external_supply_cost,元/kg,48.6,28-56.4,web source / second group: 国家能源局: 中国氢能发展报告(2025),https://www.nea.gov.cn/20250430/96022785b3a747248288ad1c57d3a025/83d863317f2f44edb605348e4de40993.pdf,消费侧价格作为兜底外购价，生产侧价格作为低值
氢市场,售氢价格,h2_sale_price_reference,元/kg,45.7,28-56.4,web source / second group: 国家能源局: 中国氢能发展报告(2025),https://www.nea.gov.cn/20250430/96022785b3a747248288ad1c57d3a025/83d863317f2f44edb605348e4de40993.pdf,示范城市群消费侧价作对外售价参考
设备效率,天然气低位热值,gas_lhv_kwh_per_m3,kWh/m3,10.814,10.5-11,web source / second group: 国家发改委工业其他行业企业温室气体核算方法与报告指南,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201511/W020190905506438889540.pdf,38.931 MJ/m3 / 3.6
氢能,储氢逐时损耗率,h2_storage_loss_rate_per_hour,-,4.166666666666667e-05,0-0.000208,web source / second group: Hydrogen Storage and Transport: Technologies and Costs,https://escholarship.org/content/qt83p5k54m/qt83p5k54m_noSplash_8bb1326c13cfb9aa3d0d376ec26d3e06.pdf,Converted from hydrogen_storage_loss_per_day / 24
运维退化,电池退化成本,battery_degradation_cost_cny_per_kwh,元/kWh throughput,0.1,0.06-0.2,web source / second group: CNESA Energy Storage Industry White Paper 2024 Summary,https://en.cnesa.org/s/CNESA-Energy-Storage-Industry-WhitePaper-2024Summary-Version.pdf,按储能成本/可用循环吞吐估算
细化曲线,电解槽最小负荷率,electrolyzer_min_load_rate,-,0.15,0.05-0.3,web source / second group: IRENA Green Hydrogen Cost Reduction,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,碱性 15%-100%，PEM 可更宽
氢能,electrolyzer segment 1 min rate,electrolyzer_segment_1_min_rate,-,0.15,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer load-rate lower bound
氢能,electrolyzer segment 1 max rate,electrolyzer_segment_1_max_rate,-,0.3,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer load-rate upper bound
氢能,electrolyzer segment 1 kWh per kg,electrolyzer_segment_1_kwh_per_kg,kWh/kgH2,60.0,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer electricity consumption
氢能,electrolyzer segment 2 min rate,electrolyzer_segment_2_min_rate,-,0.3,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer load-rate lower bound
氢能,electrolyzer segment 2 max rate,electrolyzer_segment_2_max_rate,-,0.6,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer load-rate upper bound
氢能,electrolyzer segment 2 kWh per kg,electrolyzer_segment_2_kwh_per_kg,kWh/kgH2,55.0,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer electricity consumption
氢能,electrolyzer segment 3 min rate,electrolyzer_segment_3_min_rate,-,0.6,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer load-rate lower bound
氢能,electrolyzer segment 3 max rate,electrolyzer_segment_3_max_rate,-,0.9,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer load-rate upper bound
氢能,electrolyzer segment 3 kWh per kg,electrolyzer_segment_3_kwh_per_kg,kWh/kgH2,51.0,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer electricity consumption
氢能,electrolyzer segment 4 min rate,electrolyzer_segment_4_min_rate,-,0.9,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer load-rate lower bound
氢能,electrolyzer segment 4 max rate,electrolyzer_segment_4_max_rate,-,1.0,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer load-rate upper bound
氢能,electrolyzer segment 4 kWh per kg,electrolyzer_segment_4_kwh_per_kg,kWh/kgH2,54.0,,web source / second group: DOE Technical Targets for PEM Electrolysis; IRENA Green Hydrogen Cost Reduction,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2020/Dec/IRENA_Green_hydrogen_cost_2020.pdf,Piecewise electrolyzer electricity consumption
细化曲线,燃料电池最小负荷率,fuel_cell_min_load_rate,-,0.2,0.1-0.3,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,用于避免小负荷低效运行
氢能,fuel cell segment 1 min rate,fuel_cell_segment_1_min_rate,-,0.2,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell load-rate lower bound
氢能,fuel cell segment 1 max rate,fuel_cell_segment_1_max_rate,-,0.3,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell load-rate upper bound
氢能,fuel cell segment 1 kWh per kg,fuel_cell_segment_1_kwh_per_kg,kWh/kgH2,16.0,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell electricity output
氢能,fuel cell segment 2 min rate,fuel_cell_segment_2_min_rate,-,0.3,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell load-rate lower bound
氢能,fuel cell segment 2 max rate,fuel_cell_segment_2_max_rate,-,0.6,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell load-rate upper bound
氢能,fuel cell segment 2 kWh per kg,fuel_cell_segment_2_kwh_per_kg,kWh/kgH2,18.5,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell electricity output
氢能,fuel cell segment 3 min rate,fuel_cell_segment_3_min_rate,-,0.6,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell load-rate lower bound
氢能,fuel cell segment 3 max rate,fuel_cell_segment_3_max_rate,-,0.9,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell load-rate upper bound
氢能,fuel cell segment 3 kWh per kg,fuel_cell_segment_3_kwh_per_kg,kWh/kgH2,19.5,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell electricity output
氢能,fuel cell segment 4 min rate,fuel_cell_segment_4_min_rate,-,0.9,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell load-rate lower bound
氢能,fuel cell segment 4 max rate,fuel_cell_segment_4_max_rate,-,1.0,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell load-rate upper bound
氢能,fuel cell segment 4 kWh per kg,fuel_cell_segment_4_kwh_per_kg,kWh/kgH2,18.5,,web source / second group: DOE Heavy-Duty Fuel Cell System Cost 2023,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/review24/24004-hd-fuel-cell-system-cost-2023.pdf,Piecewise fuel-cell electricity output
备用价值,燃料电池备用容量价值,fuel_cell_backup_value_cny_per_kw_year,元/kW·年,300.0,100-1000,web source / second group: LBNL outage cost literature review,https://eta-publications.lbl.gov/sites/default/files/erss_manuscript_preprint_0.pdf,由停电损失和备用替代成本推导，需实测可靠性校准
备用价值,燃料电池备用上限,fuel_cell_backup_reserve_kw,kW,10000.0,0-50000,second group model setting,https://eta-publications.lbl.gov/sites/default/files/erss_manuscript_preprint_0.pdf,Reserve capacity cap used by current second-group run script
备用价值,燃料电池必要备用,fuel_cell_backup_required_kw,kW,0.0,0-50000,second group model setting,https://eta-publications.lbl.gov/sites/default/files/erss_manuscript_preprint_0.pdf,Default not mandatory; set by critical-load requirement when available
备用价值,停电损失,value_of_lost_load_cny_per_kwh,元/kWh,55.2,15-350,web source / second group: LBNL outage cost literature review,https://eta-publications.lbl.gov/sites/default/files/erss_manuscript_preprint_0.pdf,7.61 USD/kWh * 7.25，工业差异极大
备用价值,年停电小时数,annual_outage_hours,h/年,2.0,0.5-10,web source / second group: LBNL outage cost literature review,https://eta-publications.lbl.gov/sites/default/files/erss_manuscript_preprint_0.pdf,需用当地供电可靠性报告替换
细化曲线,热泵COP冬季,heat_pump_cop_winter,-,2.6,2.2-3.2,web source / second group: NASA POWER Hourly API; IRENA Heat Pump Costs and Markets; IEA industrial heat pump chart notes,"https://power.larc.nasa.gov/api/temporal/hourly/point?parameters=ALLSKY_SFC_SW_DWN,WS50M,T2M&community=RE&longitude=109.78&latitude=39.61&start=20240101&end=20241231&format=JSON&time-standard=LST; https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2022/Nov/IRENA_Heat_Pumps_Costs_Markets_2022.pdf; https://www.iea.org/data-and-statistics/charts/energy-input-cost-ratio-of-industrial-heat-pumps-relative-to-current-market-benchmarks-in-selected-regions-2024-3",低温空气源热泵按气温下修
细化曲线,热泵COP夏季,heat_pump_cop_summer,-,4.0,3.5-4.5,web source / second group: IRENA Heat Pump Costs and Markets; IEA industrial heat pump chart notes,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2022/Nov/IRENA_Heat_Pumps_Costs_Markets_2022.pdf; https://www.iea.org/data-and-statistics/charts/energy-input-cost-ratio-of-industrial-heat-pumps-relative-to-current-market-benchmarks-in-selected-regions-2024-3,夏季/过渡季低温差
