field_name,source_id,source_category,url,published_at,retrieved_at,original_unit,target_unit,timezone,processing_method,conversion_formula,file_sha256,applicable_from,applicable_to,confidence,notes,is_primary,verification_status
grid_demand_charge_cny_per_kw_month,NDRC_TRANSMISSION_4TH_2026,policy,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202607/t20260710_1406431.html,2026-07-10,2026-08-09,CNY/kW/month,CNY/kW/month,Asia/Shanghai,"Select demand or capacity charge for the configured voltage and billing method",identity,PENDING_DOWNLOAD,2026-08-01,2029-12-31,high,"Do not add both demand and capacity billing options",true,planned
grid_line_loss_rate,NDRC_TRANSMISSION_4TH_2026,policy,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202607/t20260710_1406431.html,2026-07-10,2026-08-09,percent,fraction,Asia/Shanghai,"Select the published Inner Mongolia West network-loss rate",fraction=percent/100,PENDING_DOWNLOAD,2026-08-01,2029-12-31,high,"Apply once at the declared metering boundary",true,planned
non_residential_natural_gas_price_cny_per_m3,ORDOS_GAS_2026,policy,https://www.ordos.gov.cn/ordosml/szbm/sfzhggwyh_n/202605/t20260528_3900116.html,2026-05-28,2026-08-09,CNY/m3,CNY/m3,Asia/Shanghai,"Use the published 2.952 CNY/m3 non-residential sales price for Dongsheng/Kangbashi and reject dates outside its validity interval",identity,PENDING_DOWNLOAD,2026-04-01,2026-10-31,high,"Outside this interval a separate price scenario must be selected and documented",true,planned
electricity_co2_location_factor_kg_per_kwh,MEE_GRID_FACTOR_2023,policy,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,2025-12-31,2026-08-09,kgCO2/kWh,kgCO2/kWh,N/A,"Select the latest published Inner Mongolia provincial electricity factor for enterprise location-based Scope 2",identity,PENDING_DOWNLOAD,2023-01-01,9999-12-31,high,"Current plan value is 0.6479; U4 checks for a superseding factor",true,planned
electricity_co2_zero_carbon_factor_kg_per_kwh,NDRC_ZERO_CARBON_METHOD_2025,policy,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043380772.pdf,2025-07-08,2026-08-09,kgCO2/kWh,kgCO2/kWh,N/A,"Apply only inside the national zero-carbon-park accounting boundary; eligible direct renewable and compliant green electricity remain separate zero-factor quantities",identity,PENDING_DOWNLOAD,PENDING_VERIFICATION,PENDING_VERIFICATION,high,"Current plan fossil-electricity value is 0.8325; never mix with the location-based factor",true,planned
natural_gas_lower_heating_value_mj_per_m3,MEE_NATURAL_GAS_GUIDE,policy,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/,PENDING_VERIFICATION,2026-08-09,MJ/m3,MJ/m3,N/A,"Pin the exact applicable MEE enterprise greenhouse-gas accounting guide and extract the lower heating value",identity,PENDING_DOWNLOAD,PENDING_VERIFICATION,PENDING_VERIFICATION,medium,"Registry landing page only; U4 must replace with exact guide document URL",true,planned
natural_gas_carbon_content_t_c_per_tj,MEE_NATURAL_GAS_GUIDE,policy,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/,PENDING_VERIFICATION,2026-08-09,tC/TJ,tC/TJ,N/A,"Extract unit-energy carbon content from the same pinned accounting guide",identity,PENDING_DOWNLOAD,PENDING_VERIFICATION,PENDING_VERIFICATION,medium,"Compute gas emissions from components rather than a provenance-free constant",true,planned
natural_gas_oxidation_rate,MEE_NATURAL_GAS_GUIDE,policy,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/,PENDING_VERIFICATION,2026-08-09,percent,fraction,N/A,"Extract oxidation rate from the same pinned accounting guide",fraction=percent/100,PENDING_DOWNLOAD,PENDING_VERIFICATION,PENDING_VERIFICATION,medium,"Exact guide version pending U4 verification",true,planned
pv_capex_reference_cny_per_kw,IRENA_COSTS_2024,international_benchmark,https://www.irena.org/Publications/2025/Jun/Renewable-Power-Generation-Costs-in-2024,PENDING_VERIFICATION,2026-08-09,USD/kW,CNY/kW,N/A,"Extract global installed-cost benchmark and apply an explicit foreign-exchange and localisation assumption",cny_per_kw=usd_per_kw*fx_rate*localisation_factor,PENDING_DOWNLOAD,2024-01-01,2024-12-31,medium,"International benchmark is not a domestic quotation",true,planned
onshore_wind_capex_reference_cny_per_kw,IRENA_COSTS_2024,international_benchmark,https://www.irena.org/Publications/2025/Jun/Renewable-Power-Generation-Costs-in-2024,PENDING_VERIFICATION,2026-08-09,USD/kW,CNY/kW,N/A,"Extract global installed-cost benchmark and apply explicit localisation assumptions",cny_per_kw=usd_per_kw*fx_rate*localisation_factor,PENDING_DOWNLOAD,2024-01-01,2024-12-31,medium,"Use a bounded engineering sensitivity rather than false precision",true,planned
battery_capex_reference_cny_per_kwh,IRENA_COSTS_2024,international_benchmark,https://www.irena.org/Publications/2025/Jun/Renewable-Power-Generation-Costs-in-2024,PENDING_VERIFICATION,2026-08-09,USD/kWh,CNY/kWh,N/A,"Extract installed battery energy-cost benchmark and apply explicit localisation assumptions",cny_per_kwh=usd_per_kwh*fx_rate*localisation_factor,PENDING_DOWNLOAD,2024-01-01,2024-12-31,medium,"Power-conversion cost boundary must be stated separately",true,planned
electrolyzer_capex_reference_cny_per_kw,IEA_HYDROGEN_REVIEW_2025,international_benchmark,https://www.iea.org/reports/global-hydrogen-review-2025/executive-summary,PENDING_VERIFICATION,2026-08-09,USD/kW,CNY/kW,N/A,"Use the reported China installed-cost interval as a benchmark and convert with explicit assumptions",cny_per_kw=usd_per_kw*fx_rate*localisation_factor,PENDING_DOWNLOAD,2025-01-01,2025-12-31,medium,"Distinguish current range from future targets",true,planned
electrolyzer_specific_energy_kwh_per_kg,DOE_PEM_TARGETS,international_benchmark,https://www.energy.gov/cmei/fuels/technical-targets-proton-exchange-membrane-electrolysis,PENDING_VERIFICATION,2026-08-09,kWh/kgH2,kWh/kgH2,N/A,"Use current-status values only for the baseline and retain future targets as sensitivity references",identity,PENDING_DOWNLOAD,PENDING_VERIFICATION,PENDING_VERIFICATION,medium,"Technology target is not evidence of current park performance",true,planned
emergency_source_capacity_ratio,GBT_29328_2018,standard,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=19D335A4694C9A856AB1FFAEA7F7A45F,2018-12-28,2026-08-09,percent,fraction,N/A,"Use as an engineering comparison threshold for available emergency supply against security load",fraction=percent/100,PENDING_DOWNLOAD,2019-07-01,9999-12-31,high,"Engineering benchmark only; this project does not claim certification",true,planned
deterministic_reliability_metric_boundary,NEA_RELIABILITY_RULES,standard,https://hbj.nea.gov.cn/xxgk/zcfg/202402/t20240208_240006.html,2022-04-16,2026-08-09,document,document,N/A,"Use the management measure to frame reporting scope while retaining deterministic ENS terminology when probabilities are absent",not_applicable,PENDING_DOWNLOAD,2022-06-01,9999-12-31,high,"Do not label deterministic stress-test results as EENS LOLP SAIDI or SAIFI",true,planned
representative_period_storage_transition,KOTZUR_2018,method,https://doi.org/10.1016/j.apenergy.2018.01.023,2018-01-09,2026-08-09,method,method,N/A,"Implement inter-period state variables and original-day transition chronology for seasonal storage",not_applicable,PENDING_DOWNLOAD,2018-01-09,9999-12-31,high,"Method source; forced extremes and full-year replay are project extensions",true,planned
annual_electricity_mwh,ORDOS_ZERO_CARBON_PARK_SCALE_2025,public_scale,https://www.ordos.gov.cn/gk_128120/jyta/dfgk/202510/t20251010_3840711.html,2025-10-10,2026-08-09,100 million kWh,MWh/year,Asia/Shanghai,"Convert the official 2024 value of 3.1 billion kWh to 3.10 million MWh and use only as a synthetic-load annual calibration magnitude",annual_mwh=reported_100m_kwh*100000,PENDING_DOWNLOAD,2024-01-01,2024-12-31,high,"The same page reports 67% green-electricity share and 385.7 MW wind-solar-storage connected capacity; it is not an hourly SCADA source",true,planned
reference_project_capacity_mw,ORDOS_WIND_SOLAR_STORAGE_500MW_2023,public_scale,https://www.ordos.gov.cn/gk_128120/zdjsxm/xmsg/202302/t20230221_3341400.html,2023-02-21,2026-08-09,MW/MWh,MW/MWh,N/A,"Retain the official 440 MW wind plus 60 MW PV plus 80 MW/320 MWh storage project as a capacity-scale plausibility check",identity,PENDING_DOWNLOAD,2023-02-21,9999-12-31,medium,"Reference project only; it does not define the optimized portfolio",false,planned
